index,filename,category,true_class,in_distribution,Original_pred,Original_conf,Original_correct,Fine-tuned_pred,Fine-tuned_conf,Fine-tuned_correct,Hybrid_V1_pred,Hybrid_V1_conf,Hybrid_V1_correct,Hybrid_V2_pred,Hybrid_V2_conf,Hybrid_V2_correct
12,potato_late_blight_field_01.jpg,medium,Potato___Late_blight,True,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.5824,False,Squash___Powdery_mildew,0.3956,False,Corn_(maize)___healthy,0.4872,False,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.5359,False
13,potato_late_blight_field_02.jpg,medium,Potato___Late_blight,True,Orange___Haunglongbing_(Citrus_greening),0.2409,False,Orange___Haunglongbing_(Citrus_greening),0.8245,False,Apple___healthy,0.2062,False,Orange___Haunglongbing_(Citrus_greening),0.3971,False
14,tomato_early_blight_field_01.jpg,medium,Tomato___Early_blight,True,Corn_(maize)___healthy,0.9937,False,Raspberry___healthy,0.8046,False,Orange___Haunglongbing_(Citrus_greening),0.5022,False,Grape___Black_rot,0.7217,False
15,tomato_late_blight_field_01.jpg,medium,Tomato___Late_blight,True,Corn_(maize)___healthy,0.7089,False,Corn_(maize)___Northern_Leaf_Blight,0.2595,False,Corn_(maize)___Common_rust_,0.1823,False,Corn_(maize)___Northern_Leaf_Blight,0.2248,False
16,apple_fire_blight_dense_01.jpg,hard,OOD,False,"Pepper,_bell___Bacterial_spot",0.695,,Corn_(maize)___Northern_Leaf_Blight,0.8645,,"Pepper,_bell___Bacterial_spot",0.3335,,Tomato___Late_blight,0.3457,
17,apple_fire_blight_dense_02.jpg,hard,OOD,False,Grape___Esca_(Black_Measles),1.0,,Corn_(maize)___Northern_Leaf_Blight,0.7469,,Corn_(maize)___Common_rust_,0.9406,,Corn_(maize)___Northern_Leaf_Blight,0.8287,
18,potato_late_blight_dense_01.jpg,hard,Potato___Late_blight,True,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.4992,False,Squash___Powdery_mildew,0.3933,False,Corn_(maize)___healthy,0.5615,False,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.5109,False
19,tomato_early_blight_heavy_01.jpg,hard,Tomato___Early_blight,True,"Pepper,_bell___healthy",0.7757,False,Tomato___Bacterial_spot,0.911,False,Potato___Late_blight,0.5096,False,Tomato___Late_blight,0.4176,False
20,rose_black_spot_01.jpg,ood,OOD,False,Strawberry___Leaf_scorch,0.9998,,Tomato___Bacterial_spot,0.4452,,"Pepper,_bell___Bacterial_spot",0.5901,,Tomato___Septoria_leaf_spot,0.7428,
21,rose_black_spot_02.jpg,ood,OOD,False,Apple___Cedar_apple_rust,0.6693,,Tomato___Septoria_leaf_spot,0.5348,,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.3859,,Tomato___Septoria_leaf_spot,0.2784,
22,sunflower_downy_mildew_ood_01.jpg,ood,UNKNOWN,False,ERROR,0.0,,ERROR,0.0,,ERROR,0.0,,ERROR,0.0,
23,sunflower_leaf_ood_01.jpg,ood,OOD,False,Corn_(maize)___Northern_Leaf_Blight,0.986,,Grape___healthy,0.4543,,Grape___healthy,0.7598,,Tomato___healthy,0.3607,
24,wheat_leaf_rust_01.jpg,ood,OOD,False,Strawberry___Leaf_scorch,0.9865,,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.4977,,Raspberry___healthy,0.8782,,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.732,
25,wheat_leaf_rust_02.jpg,ood,OOD,False,Peach___healthy,0.7921,,Peach___healthy,1.0,,Apple___Black_rot,0.5924,,Peach___healthy,0.8179,
